claim_id,claim_source,claim_timestamp,claim_text,affected_system,risk_level,verification_method,authoritative_source,verification_status,verified_at,evidence_artifact,result,conflict_or_limitation,next_action,owner_decision_required
C1,claude_code_phase0_handoff_json,2026-09-12T10:05Z,"Repo /Users/cb/Developer/new-zas-website on branch seo/organic-growth-infra",git,low,"git rev-parse --show-toplevel; git branch --show-current; git remote -v",local git,LOCAL_SOURCE_VERIFIED,2026-09-12T12:26Z,CLAIM-VERIFICATION-EVIDENCE/verify-log.txt,CONFIRMED,"Two remotes exist: origin (github.com/zasupport) + backup (zasupportbackup). Earlier push targeted origin.",none,no
C2,claude_code_phase0_handoff_json,2026-09-12T10:05Z,"Commits fc63e99 (docs) + d507ab2 (A1 wording) exist",git,low,git show --stat --oneline,local git,LOCAL_SOURCE_VERIFIED,2026-09-12T12:26Z,CLAIM-VERIFICATION-EVIDENCE/verify-log.txt,CONFIRMED,"fc63e99=11 files/415 ins. d507ab2 present.",none,no
C3,claude_code_phase0_handoff_json,2026-09-12T10:05Z,"/search=200, /sitemap.xml=200, /api/search=500 in production",production,medium,curl live this turn,live zasupport.com,PRODUCTION_VERIFIED,2026-09-12T12:26Z,CLAIM-VERIFICATION-EVIDENCE/verify-log.txt,CONFIRMED,"Re-pulled 12:26; identical to first pull. Search page works; /api/search 500 persists.",Deploy keyless fix (gated),yes
C4,claude_code_phase0_handoff_json,2026-09-12T10:05Z,"d507ab2 replaces prohibited 'included in the total' FAQ with FR-008 wording",src/app/page.tsx,medium,git show d507ab2 -- src/app/page.tsx,local git diff,LOCAL_SOURCE_VERIFIED,2026-09-12T12:26Z,CLAIM-VERIFICATION-EVIDENCE/verify-log.txt,CONFIRMED,"Prohibited line removed; approved wording added; amount-free.",none,no
C5,claude_code_phase0_handoff_json,2026-09-12T10:05Z,"Keyless /api/search rewrite is in-branch but undeployed; production runs old CSE proxy",src/app/api/search + production,medium,read route.ts + DECISIONS.md + live 500,source + production + DECISIONS,PRODUCTION_VERIFIED,2026-09-12T12:26Z,CLAIM-VERIFICATION-EVIDENCE/verify-log.txt,CONFIRMED,"Source has keyless index import; production still 500s = old code. Source-to-production drift confirmed.",Deploy keyless fix (gated),yes
C6,claude_code_phase0_handoff_json,2026-09-12T10:05Z,"Local GSC export fails on missing python libs (google-auth/api-client)",za-gsc-page-export.py,medium,ran the exporter,runtime output,RUNTIME_VERIFIED,2026-09-12T12:26Z,CLAIM-VERIFICATION-EVIDENCE/verify-log.txt,CONFIRMED,"Blocker is missing dependency, not auth. Exporter exits 0 despite failing (its own loud-fail-but-rc0 bug).",Install libs then re-run,yes
C7,claude_code_phase0_handoff_json,2026-09-12T10:05Z,"google-rating.json stale: count 645 fetched 2026-07-25",src/data/google-rating.json,medium,grep fetched date,local source,LOCAL_SOURCE_VERIFIED,2026-09-12T12:26Z,CLAIM-VERIFICATION-EVIDENCE/verify-log.txt,CONFIRMED,"~7 weeks old vs weekly-min policy. 645 is unverified against live GBP.",Refresh GBP source,yes
C8,claude_code_phase0_handoff_json,2026-09-12T10:05Z,"git push blocked by PAT lacking workflow scope",git remote origin,medium,git push origin,remote push response,RUNTIME_VERIFIED,2026-09-12T12:26Z,CLAIM-VERIFICATION-EVIDENCE/verify-log.txt,CONFIRMED,"Rejected: refusing PAT to update .github/workflows without workflow scope. Both remotes unpushed for these commits.",Grant PAT workflow scope,yes
C9,claude_code_phase0_handoff_json,2026-09-12T10:05Z,"A1 edit type-clean (tsc exit 0)",typescript build,low,npx tsc --noEmit,runtime output,RUNTIME_VERIFIED,2026-09-12T12:26Z,CLAIM-VERIFICATION-EVIDENCE/verify-log.txt,CONFIRMED,"Exit 0, 0 error lines (re-run).",none,no
C10,claude_code_self_verify_this_turn,2026-09-12T12:26Z,"d507ab2 is a 902-line diff, NOT a clean one-line change",src/app/page.tsx,low,git show --stat,local git,LOCAL_SOURCE_VERIFIED,2026-09-12T12:26Z,CLAIM-VERIFICATION-EVIDENCE/verify-log.txt,NEW_CORRECTION,"Biome PostToolUse formatter reformatted the whole file (tabs, import order, quote style) alongside the one-FAQ semantic change. Change is correct but bundled with format churn, which obscures review/rollback.",Note for reviewer; consider format-only pre-commit to isolate future semantic diffs,no
